HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
7437,293.6453986,19.7734017,---,12214,76,4.0,0.062,0.5,0.0,4.794,0.01,4.941,0.01,5.097,0.011,4.7713,4.9322,5.18,4.0719,5.8317
6161,246.9958936,68.7681386,---,9884,57,3.655,0.076,0.5,0.0,4.775,0.01,4.89,0.011,5.023,0.011,4.7711,4.8839,5.096,4.0349,6.7911
9091,0.5830014,-29.7204131,---,13690,589,4.164,0.183,0.5,1.853,4.8,0.013,4.959,0.015,5.125,0.015,4.7705,4.9493,5.2129,4.085,4.8234
1008,49.9818789,-43.0697828,---,5510,39,4.629,0.486,-0.247,0.117,4.594,0.009,4.308,0.008,4.112,0.006,4.7694,4.3385,4.0439,3.5104,165.5242
8123,318.6200639,10.0069794,---,6381,54,4.16,0.236,-0.023,0.146,4.654,0.008,4.493,0.007,4.393,0.008,4.7692,4.5091,4.3621,3.6906,54.09
1937,84.7211789,-7.2128289,---,8283,90,3.798,0.064,0.0,0.323,4.724,0.01,4.763,0.007,4.836,0.008,4.7675,4.7639,4.8823,3.9368,22.9587
5313,213.0658561,2.4094314,---,12570,110,4.5,0.077,0.5,0.0,4.782,0.011,4.928,0.012,5.087,0.012,4.7658,4.92,5.1725,4.0628,12.63
5185,206.8155975,17.4569042,---,6572,41,4.161,0.112,0.265,0.082,4.647,0.013,4.501,0.011,4.411,0.011,4.7636,4.5169,4.3867,3.7,64.047
4132,158.30787,40.4255603,---,7838,60,3.907,0.109,0.0,0.249,4.704,0.013,4.697,0.01,4.733,0.011,4.7631,4.7012,4.7621,3.881,29.1453
7635,299.6892858,19.4921467,---,3782,14,0.67,0.107,-0.634,0.292,4.413,0.012,3.646,0.009,3.088,0.009,4.7627,3.7675,2.9059,2.7382,12.62
1444,68.4621564,14.8444231,---,7812,64,3.816,0.068,0.232,0.119,4.698,0.011,4.691,0.007,4.724,0.008,4.7609,4.6958,4.7526,3.8756,21.6354
2344,96.9898694,-4.7621536,---,18962,1492,4.5,0.04,-2.0,1.853,4.798,0.012,4.975,0.012,5.164,0.013,4.7575,4.9613,5.2611,4.0951,3.0
932,47.9844544,74.3936578,---,9078,67,3.94,0.084,-0.5,0.02,4.732,0.008,4.812,0.009,4.924,0.01,4.7556,4.8088,4.9861,3.9744,19.6409
5972,240.5737153,22.8044528,---,8784,64,3.896,0.122,0.0,0.381,4.725,0.01,4.792,0.01,4.893,0.012,4.7556,4.7911,4.9507,3.9593,18.695
2429,99.17099,-19.2558794,---,4847,30,3.043,0.403,0.407,0.13,4.495,0.01,4.04,0.01,3.713,0.01,4.7531,4.0979,3.6062,3.2301,48.849
620,32.1219167,37.8590794,---,8309,64,3.547,0.093,0.0,0.245,4.716,0.009,4.765,0.009,4.846,0.011,4.7526,4.7657,4.8951,3.9352,17.2479
8556,337.317395,-43.4955625,---,4861,43,2.0,0.181,-0.03,0.086,4.501,0.012,4.059,0.011,3.759,0.009,4.7514,4.1063,3.6587,3.2598,9.9981
4310,166.2542814,7.3360067,---,7063,38,3.62,0.133,0.099,0.113,4.664,0.01,4.588,0.008,4.558,0.008,4.7476,4.5973,4.5578,3.779,34.6007
8717,343.8069667,8.8161647,---,9350,73,3.779,0.106,-0.5,0.371,4.733,0.009,4.826,0.009,4.947,0.01,4.7453,4.8212,5.0136,3.9819,11.1664
4933,195.8887719,-49.5272644,---,9424,104,4.198,0.147,0.5,0.332,4.722,0.01,4.811,0.011,4.93,0.012,4.7446,4.8092,4.9972,3.9727,14.8276
4380,169.7829153,38.1855633,---,8739,26,4.103,0.071,0.0,0.422,4.707,0.008,4.765,0.007,4.86,0.009,4.7443,4.7652,4.9161,3.9366,16.0516
2812,110.5563708,-19.0166014,---,11983,131,4.108,0.144,0.0,0.683,4.756,0.01,4.892,0.009,5.046,0.009,4.739,4.8831,5.1267,4.0291,6.78
972,48.7254056,21.0444472,---,9298,88,3.674,0.075,0.5,0.741,4.724,0.008,4.821,0.008,4.941,0.009,4.7344,4.8172,5.0078,3.9748,11.8942
8667,341.6328244,23.5656544,---,4804,27,2.096,0.374,0.0,0.057,4.477,0.01,4.022,0.009,3.711,0.009,4.7344,4.0716,3.6062,3.2198,8.93
818,41.2757797,-18.5725597,---,6431,68,4.186,0.194,0.092,0.108,4.616,0.009,4.458,0.007,4.359,0.007,4.7338,4.4742,4.3296,3.6563,70.0459
477,25.1450686,40.5770483,---,12087,114,3.799,0.12,0.5,0.0,4.758,0.011,4.904,0.011,5.059,0.012,4.733,4.8954,5.1409,4.0343,4.58
8520,335.3794797,12.2051842,---,19131,831,4.3,0.148,-2.0,1.449,4.775,0.009,4.954,0.009,5.143,0.009,4.7315,4.9398,5.2408,4.0722,2.01
4823,190.4857014,-59.6858197,---,11954,116,3.892,0.171,0.5,0.0,4.753,0.011,4.898,0.01,5.052,0.011,4.7307,4.8892,5.1338,4.0293,3.8643
5705,230.4515403,-36.2613756,---,3988,29,1.5,0.205,0.449,0.141,4.385,0.014,3.652,0.013,3.125,0.012,4.7298,3.7665,2.9575,2.7653,11.86
7372,291.0315789,29.6213389,---,16101,901,4.654,0.371,0.395,1.853,4.758,0.012,4.929,0.012,5.11,0.013,4.7253,4.9182,5.2046,4.0529,3.6239
1862,82.8031475,-35.4705203,---,4661,29,1.84,0.331,0.003,0.134,4.45,0.009,3.956,0.009,3.618,0.009,4.7233,4.0117,3.5054,3.1489,11.73
1175,56.0498994,-64.8069058,---,4495,27,2.206,0.354,-0.192,0.161,4.45,0.011,3.942,0.011,3.583,0.01,4.7219,4.0052,3.4608,3.1218,30.4404
2970,115.3118025,-9.5511308,---,4827,25,2.434,0.512,0.0,0.054,4.468,0.011,4.026,0.009,3.722,0.008,4.7176,4.0756,3.619,3.2234,22.07
1621,75.3565856,-20.0519208,---,10340,46,4.087,0.092,0.5,0.0,4.718,0.008,4.837,0.009,4.977,0.009,4.7175,4.8315,5.0527,3.9836,16.5691
6895,275.9245406,21.7697519,---,4495,37,2.465,0.205,0.08,0.178,4.439,0.012,3.919,0.011,3.544,0.011,4.717,3.9889,3.4184,3.0932,26.9636
8309,326.0357875,28.7426056,HR8310,6433,51,4.152,0.24,-0.19,0.187,4.61,0.011,4.46,0.009,4.367,0.008,4.7168,4.4749,4.3391,3.6546,42.1
8264,324.4379556,-7.8542028,---,7969,53,3.556,0.071,0.2,0.148,4.664,0.014,4.684,0.011,4.739,0.01,4.7155,4.6874,4.7763,3.862,18.26
7735,303.4079439,46.7413281,---,4042,13,3.958,0.357,-2.5,0.039,4.46,0.011,3.898,0.008,3.461,0.006,4.7138,3.9787,3.3054,3.0254,2.9167
7613,298.9656786,38.4867056,---,14043,788,4.0,0.08,-2.0,1.853,4.74,0.008,4.889,0.008,5.053,0.008,4.7128,4.8776,5.1379,4.0195,2.5612
3173,122.1143597,51.5066681,---,9090,83,3.687,0.136,-0.5,0.683,4.697,0.01,4.782,0.011,4.898,0.012,4.7126,4.7784,4.9609,3.9407,13.04
4583,179.9065681,-78.2218383,---,10626,84,4.455,0.081,0.5,0.0,4.708,0.009,4.827,0.01,4.969,0.011,4.7126,4.8217,5.047,3.9762,9.02
1612,75.6195308,41.0758389,---,3863,10,3.5,0.058,-2.5,0.0,4.44,0.011,3.825,0.013,3.342,0.008,4.7105,3.9197,3.1721,2.9321,4.15
708,36.4875233,-12.290475,---,9505,47,3.562,0.075,0.5,0.371,4.703,0.009,4.81,0.009,4.936,0.01,4.7054,4.8046,5.0056,3.9584,5.8054
2128,90.4600933,-10.5979325,---,15608,507,4.386,0.16,-2.0,1.39,4.734,0.01,4.892,0.01,5.065,0.011,4.7052,4.88,5.1546,4.0206,3.4868
429,22.0913636,-43.3182361,---,3782,18,0.622,0.117,-0.37,0.177,4.349,0.015,3.572,0.014,3.011,0.012,4.7048,3.6948,2.831,2.6654,13.3612
1134,55.5620936,-31.9383625,---,14114,189,4.045,0.143,0.5,0.0,4.738,0.014,4.901,0.014,5.07,0.015,4.7045,4.8911,5.1589,4.0247,3.8528
1770,80.7083375,3.5444514,---,21998,524,5.0,0.421,-2.5,1.112,4.748,0.012,4.934,0.013,5.134,0.013,4.7043,4.9205,5.2364,4.0521,1.8431
874,44.1068728,-8.898145,---,4663,49,2.56,0.469,0.04,0.21,4.441,0.012,3.966,0.011,3.629,0.011,4.7039,4.024,3.5162,3.1529,24.2178
5967,240.8507894,-38.6025425,---,15650,185,4.512,0.102,-2.0,0.0,4.728,0.008,4.886,0.009,5.059,0.009,4.7014,4.8743,5.1492,4.0155,8.16
6493,261.6578372,-5.0865972,---,6897,59,3.916,0.137,-0.158,0.262,4.614,0.01,4.52,0.008,4.474,0.008,4.6996,4.5306,4.4655,3.7104,33.25
1603,75.85454,60.4422472,---,5084,22,1.375,0.168,-0.379,0.092,4.481,0.01,4.105,0.009,3.854,0.01,4.6983,4.1417,3.7667,3.3104,3.74
2010,87.3872072,12.6513217,---,10442,60,4.138,0.067,0.5,0.0,4.699,0.01,4.82,0.011,4.96,0.012,4.6983,4.8138,5.037,3.9657,13.11
7653,300.2752019,27.7535733,---,7913,77,3.354,0.086,0.409,0.173,4.642,0.009,4.663,0.007,4.715,0.009,4.6957,4.6668,4.7516,3.8407,13.8
2198,93.0136647,16.1304058,---,14190,793,4.318,0.307,0.5,1.39,4.724,0.011,4.886,0.011,5.056,0.012,4.6942,4.876,5.1449,4.0115,6.17
7844,307.5147547,48.9515681,---,15009,232,4.015,0.183,0.0,0.371,4.728,0.011,4.888,0.012,5.059,0.012,4.6938,4.8764,5.1472,4.0132,2.5459
7469,294.1105597,50.2211014,---,6832,47,4.11,0.156,-0.108,0.141,4.602,0.011,4.497,0.01,4.441,0.011,4.6925,4.5085,4.4291,3.6886,54.2702
7708,302.3567467,36.8396222,---,16848,430,4.216,0.249,0.5,0.343,4.735,0.011,4.915,0.011,5.101,0.012,4.6918,4.9024,5.1976,4.0321,3.8921
440,22.8129364,-49.0727031,---,4780,28,2.647,0.409,-0.358,0.174,4.446,0.011,4.019,0.01,3.724,0.01,4.682,4.0669,3.6219,3.214,22.7935
7565,297.7671175,22.6100481,---,15200,1047,4.492,0.094,0.5,1.853,4.712,0.012,4.881,0.013,5.057,0.014,4.6798,4.8702,5.1497,4.0044,5.171
6271,253.6458514,-42.3613169,---,4197,20,2.131,0.131,0.472,0.082,4.359,0.012,3.721,0.012,3.253,0.011,4.6767,3.8196,3.1018,2.8601,24.2353
8613,339.3434053,51.5451217,---,7572,47,3.46,0.072,-0.009,0.209,4.614,0.012,4.597,0.009,4.62,0.009,4.6753,4.6016,4.643,3.7805,19.0
3249,124.1288375,9.1855439,---,3998,24,0.935,0.239,-0.214,0.249,4.338,0.012,3.643,0.013,3.148,0.012,4.6746,3.7432,2.9851,2.7726,10.75
1479,69.8187597,15.9179731,---,8124,87,3.675,0.105,0.288,0.224,4.625,0.01,4.654,0.008,4.716,0.009,4.6746,4.6567,4.7582,3.8307,20.97
383,19.8666369,27.26406,---,8741,30,3.499,0.046,-1.0,0.0,4.655,0.007,4.731,0.008,4.837,0.009,4.6744,4.7282,4.8952,3.8913,10.59
2648,105.7282361,-4.2392328,---,23173,361,4.409,0.256,-2.0,0.0,4.725,0.012,4.921,0.013,5.125,0.014,4.6707,4.9057,5.2293,4.0313,2.68
1326,63.5004769,-42.2943675,---,4790,32,2.835,0.372,0.336,0.174,4.405,0.01,3.937,0.011,3.603,0.009,4.668,3.9959,3.4933,3.1261,27.721
9071,359.7522425,55.7549286,---,18407,402,4.976,0.172,0.0,0.347,4.698,0.01,4.871,0.011,5.058,0.012,4.6637,4.8588,5.1552,3.9952,0.72
4700,185.3400389,-60.4011469,---,4117,32,1.595,0.253,0.039,0.181,4.346,0.011,3.709,0.01,3.249,0.011,4.6634,3.8018,3.0973,2.8522,14.1999
1481,69.5451036,-14.3040167,---,4629,21,2.637,0.329,0.0,0.083,4.399,0.009,3.923,0.01,3.582,0.009,4.6608,3.9826,3.4682,3.1073,28.8769
7615,299.0765508,35.0834231,---,4857,25,2.983,0.453,0.182,0.122,4.409,0.009,3.973,0.01,3.663,0.008,4.6572,4.0256,3.5601,3.1661,24.17
789,39.9499578,-42.8916764,---,8998,35,4.0,0.016,0.2,0.519,4.629,0.009,4.704,0.009,4.811,0.012,4.6568,4.7025,4.873,3.8693,22.5636
8820,347.5897397,-45.2467125,---,5001,37,2.343,0.494,0.287,0.141,4.405,0.009,3.972,0.009,3.674,0.008,4.6566,4.0201,3.5754,3.1733,15.8566
8641,340.4392067,29.3076367,---,9358,111,3.704,0.111,0.5,0.729,4.646,0.008,4.745,0.008,4.866,0.009,4.6562,4.741,4.9339,3.8983,11.6546
5603,226.0175669,-25.2819614,---,3522,6,0.0,0.0,0.0,0.0,4.258,0.023,3.365,0.014,2.771,0.015,4.6533,3.4894,2.5795,2.4347,11.31
4589,180.2182933,6.6143214,---,8248,11,3.399,0.078,0.0,0.324,4.615,0.01,4.664,0.01,4.744,0.012,4.6501,4.6645,4.7924,3.8332,8.49
8522,335.3305806,28.3305286,---,10584,97,3.875,0.119,-1.422,1.054,4.655,0.011,4.771,0.011,4.91,0.011,4.6501,4.7637,4.9837,3.9166,4.5201
25,2.3526731,-45.7474253,---,4824,29,2.522,0.312,0.0,0.043,4.399,0.01,3.958,0.009,3.653,0.008,4.6477,4.0081,3.5507,3.1549,22.6081
5447,218.6700708,29.7451275,---,6923,71,4.203,0.083,-0.453,0.122,4.567,0.012,4.475,0.009,4.43,0.009,4.6461,4.4849,4.4216,3.6625,63.4679
8252,323.4952208,45.5918383,---,4888,37,3.343,0.408,-0.464,0.088,4.428,0.012,4.042,0.011,3.771,0.01,4.6449,4.0857,3.6759,3.2368,25.9359
3614,136.0386661,-47.0977375,---,4614,26,2.213,0.208,0.478,0.075,4.354,0.011,3.816,0.01,3.437,0.01,4.6448,3.8849,3.3138,2.9964,10.89
3347,126.4341447,-66.1368903,---,4435,28,2.305,0.297,-0.256,0.185,4.374,0.009,3.865,0.009,3.499,0.009,4.6442,3.9306,3.3743,3.0396,30.2128
5787,233.8815783,-14.7895356,---,4768,34,2.801,0.364,-0.267,0.11,4.404,0.011,3.972,0.011,3.67,0.011,4.6438,4.0218,3.5656,3.1647,19.99
4789,188.7128358,22.6292583,---,9372,57,3.788,0.076,-0.5,0.148,4.631,0.009,4.724,0.01,4.847,0.011,4.6431,4.7198,4.913,3.8804,10.52
125,7.8540853,-48.803515,---,9248,49,3.972,0.066,-0.5,0.287,4.622,0.01,4.707,0.011,4.824,0.012,4.6417,4.7034,4.8886,3.8676,18.4705
8830,348.1375158,49.4062069,---,7292,63,3.827,0.092,-0.144,0.153,4.568,0.012,4.515,0.01,4.506,0.009,4.6403,4.5218,4.5137,3.7021,40.294
4138,157.5838628,-71.9927944,---,8851,146,3.588,0.113,0.0,0.85,4.619,0.008,4.698,0.01,4.806,0.013,4.6395,4.6953,4.8662,3.8588,12.52
7029,281.0806625,-35.6419875,---,16922,227,4.629,0.35,0.5,0.0,4.677,0.009,4.855,0.01,5.042,0.01,4.6395,4.8436,5.1395,3.9757,6.99
5112,203.6135803,49.0159742,---,8248,17,3.581,0.078,0.0,0.27,4.599,0.012,4.643,0.01,4.72,0.009,4.6393,4.6443,4.7665,3.815,18.09
6752,271.3636883,2.5000989,---,5015,26,4.77,0.291,-0.334,0.136,4.427,0.012,4.069,0.01,3.797,0.01,4.639,4.1187,3.7048,3.2566,196.72
